"alexa_links_in";"alexa_load_time";"alexa_rank";"alexa_rank_dk";"external_links_count";"img_count";"internal_links_count";"page_rank";"has_description";"has_keywords";"title_tag";"id";"cluster"
0.004297070830050848;0.08127430252049657;0.12252180942578557;0.10007678525723061;0.2402938090241343;0.1073170731707317;0.058997050147492625;0.75;"0";"0";"1";1891.0;"cluster_2"
0.002864713886700566;0.08127430252049657;0.3059629149143681;0.3911782271137275;0.005246589716684155;0.0065040650406504065;0.00983284169124877;0.375;"0";"0";"1";1892.0;"cluster_6"
0.012891212490152546;0.06613972463029066;0.24869615501656833;0.20083610613428887;0.008394543546694649;0.01951219512195122;0.043264503441494594;0.625;"1";"1";"1";1893.0;"cluster_1"
0.0032944209697056506;0.08127430252049657;0.2501612156800267;0.39970992236157327;0.025183630640083946;0.011382113821138212;9.832841691248771E-4;0.5;"1";"0";"1";1894.0;"cluster_6"
0.0032944209697056506;0.2296787353391127;0.21230145182622592;0.30202201177373944;0.0;0.0;0.0;0.25;"0";"0";"0";1895.0;"cluster_0"
0.035021127264914416;0.05441101478837328;0.3092070380232977;0.5083184028666496;0.04931794333683106;0.04552845528455285;0.00983284169124877;0.75;"1";"1";"1";1896.0;"cluster_6"
0.01690181193153334;0.08127430252049657;0.4434135070500776;0.2541203280017399;0.0472193074501574;0.022764227642276424;0.0;0.5;"1";"1";"1";1897.0;"cluster_6"
0.009381937978944353;0.07231004589495156;0.4353396572027794;0.2782185820322498;0.07450157397691501;0.0910569105691057;0.14355948869223206;0.75;"1";"0";"1";1898.0;"cluster_6"
0.028145813936833058;0.0450790413054564;0.025834549299965693;0.030116884224895488;0.026232948583420776;0.008130081300813009;0.01376597836774828;0.75;"0";"0";"1";1899.0;"cluster_2"
0.0016472104848528253;0.032585415604283526;0.24108256013028756;0.19802064670249978;0.0062959076600209865;0.014634146341463415;0.003933136676499509;0.375;"1";"1";"1";1900.0;"cluster_1"
5.729427773401132E-4;0.18485466598674147;0.21722558983864945;0.23445098541080112;0.0;0.0;0.0;0.46643167028199567;"0";"0";"0";1901.0;"cluster_0"
0.00207691756785791;0.08127430252049657;0.40931502091799793;0.4953502260899241;0.005246589716684155;0.027642276422764227;0.06096361848574238;0.125;"1";"0";"1";1902.0;"cluster_6"
0.023920360953949723;0.0239673635900051;0.09775992393148776;0.10647555669311493;0.04407135362014691;0.04552845528455285;0.021632251720747297;0.75;"0";"0";"1";1903.0;"cluster_2"
0.003509274511208193;0.08127430252049657;0.1272436375652344;0.09819981230270455;0.002098635886673662;0.03902439024390244;0.0471976401179941;0.375;"1";"1";"1";1904.0;"cluster_1"
0.007090166869583901;0.051198368179500256;0.1553385782167902;0.18445525125842505;0.04302203567681007;0.06991869918699187;0.48475909537856443;0.5;"1";"1";"1";1905.0;"cluster_1"
0.010957530616629664;0.3057113717491076;0.25497731913259425;0.2541203280017399;0.0062959076600209865;0.01951219512195122;0.20353982300884957;0.25;"0";"0";"1";1906.0;"cluster_6"
0.03208479553104634;0.08127430252049657;0.10901636096801902;0.2541203280017399;0.004197271773347324;0.04552845528455285;0.05408062930186824;0.0;"1";"1";"1";1907.0;"cluster_5"
0.10542147103058082;0.06766955634880163;0.05231901906686257;0.0914597730569064;0.04302203567681007;0.027642276422764227;0.0019665683382497543;0.875;"0";"1";"1";1908.0;"cluster_2"
0.019623290123898875;0.11259561448240693;0.09210999924976755;0.2541203280017399;0.1794333683105981;0.0016260162601626016;0.007866273352999017;0.625;"1";"0";"1";1909.0;"cluster_2"
9.310320131776839E-4;0.03488016318204997;0.28659174457704173;0.18846514802491254;0.04302203567681007;0.008130081300813009;9.832841691248771E-4;0.25;"0";"0";"1";1910.0;"cluster_6"
1.432356943350283E-4;0.08127430252049657;0.457081646364028;0.17319341353126866;0.008394543546694649;0.00975609756097561;0.01966568338249754;0.46643167028199567;"1";"1";"1";1911.0;"cluster_1"
0.008236052424264126;0.04145843957164712;0.3652675253034859;0.41694394676222163;0.0;0.0;0.0;0.5;"0";"0";"0";1912.0;"cluster_4"
6.445606245076273E-4;0.08127430252049657;0.40174736723203847;0.5279413019366949;0.01888772298006296;0.05365853658536585;0.07472959685349066;0.0;"1";"1";"1";1913.0;"cluster_5"
0.028217431784000574;0.08127430252049657;0.11995753178583139;0.16739186076273355;0.053515215110178385;0.06829268292682927;9.832841691248771E-4;0.625;"0";"0";"1";1914.0;"cluster_2"
0.008236052424264126;0.032585415604283526;0.10559816707255085;0.4465489292722464;0.02098635886673662;0.022764227642276424;0.05703048180924287;0.625;"0";"0";"1";1915.0;"cluster_2"
4.297070830050849E-4;0.08127430252049657;0.3442205548516858;0.11944373346984045;0.0;0.0;0.0;0.125;"0";"0";"0";1916.0;"cluster_0"
