"alexa_links_in";"alexa_load_time";"alexa_rank";"alexa_rank_dk";"external_links_count";"html5_tags";"img_count";"internal_links_count";"page_rank";"alexa_has_adult_content";"alexa_lang";"cms";"facebook_share";"has_analytics";"has_content_business";"has_content_film";"has_content_food";"has_content_games";"has_content_health";"has_content_music";"has_content_news";"has_content_shop";"has_content_sport";"has_content_technology";"has_content_transport";"has_content_xxx";"has_description";"has_js_angular";"has_js_backbone";"has_js_dojo";"has_js_ember";"has_js_handlebars";"has_js_jquery";"has_js_knockout";"has_js_modernizr";"has_js_mootools";"has_js_prototype";"has_js_underscore";"has_keywords";"html5";"server";"title_tag";"twitter_share";"xhtml";"id";"cluster"
-0.07276348319066162;2.249349982756914;-1.1272883070517492;-1.2483579027997123;1.8559260451332757;-0.10868527797967921;0.891137506240471;-0.3108101465140697;0.7519464699429849;"0";"0";"9";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";38.0;"cluster_5"
0.5862912289702907;-0.6440465459062121;-1.308487360714133;-1.3732676048665031;0.7418771261540835;-0.15951686893449543;0.2540544579895473;-0.2612032617557566;0.7519464699429849;"0";"0";"11";"0";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"8";"1";"0";"0";39.0;"cluster_6"
-0.24612651812235264;-0.16976188867554676;0.13961517439752147;-0.22115332035614405;-0.527408117600898;-0.15951686893449543;-0.2920167262255302;0.4208914036710478;-0.43357788930364627;"0";"1";"6";"0";"1";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";40.0;"cluster_1"
0.3702753838569932;0.1449827741667412;-0.06369159834630266;6.9271165993769035E-15;-0.5821974086982353;0.19630426774921808;-0.5422993523241074;-0.23639981937660007;0.7519464699429849;"0";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";41.0;"cluster_1"
0.09922365463839694;0.16319114309150168;-1.2350155996949748;-1.3468639280068562;-0.13475153140331378;-0.15951686893449543;-0.24651079420760708;0.4704982884293609;1.3447086495663005;"0";"0";"11";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"3";"1";"0";"0";42.0;"cluster_6"
-0.15394141224597727;-0.614566329551838;1.6264140404479148;1.6702639162243265;-0.20780391953309688;-0.15951686893449543;-0.33752265824345334;-0.3108101465140697;0.7519464699429849;"0";"0";"11";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";43.0;"cluster_3"
-0.1346788528091227;0.009720605011377783;-0.6825921996363329;-0.5511992811017294;-0.08909378882219933;-0.15951686893449543;-0.08724003214487615;-0.34801531008280445;0.7519464699429849;"0";"0";"11";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"22";"1";"0";"0";44.0;"cluster_1"
-0.26951676886710463;-0.8183266484717765;1.0723996548353445;0.2927028523739059;0.6322985439594088;-0.15951686893449543;0.4133252200522782;-0.02557055915376961;-0.43357788930364627;"0";"0";"11";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";45.0;"cluster_2"
-0.27502035727763446;0.28371320406967804;-1.1353828371846708;-1.1285258308982382;-0.32651405024399444;1.4670940416196234;-0.3830285902613764;1.2394050021832133;-0.43357788930364627;"0";"0";"6";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"3";"1";"0";"0";46.0;"cluster_1"
-0.25850959204604484;-7.29446854053416E-15;-0.6505269809533771;0.036282529025412597;-0.4360926324386691;0.09464108583958565;-0.4740404542972227;-0.34801531008280445;0.1591842903196693;"0";"0";"11";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";47.0;"cluster_1"
