cms;;;;has_analytics;;;;has_js_jquery;;;;html5;;;;html5_tags;;;;id;;;;server;;;;
sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;
407;11.0;11.0;0.0;0;0.0;0.0;0.0;37;1.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48975.0;1323.64864865;136.0;572.193041335;37;1.0;1.0;0.0;
99;11.0;11.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14782.0;1642.44444444;149.0;776.355175177;54;6.0;6.0;0.0;
8;1.0;1.0;0.0;8;1.0;1.0;0.0;8;1.0;1.0;0.0;8;1.0;1.0;0.0;0.0334346504559;0.00417933130699;0.0;0.00739662702657;6510.0;813.75;200.0;481.446193775;8;1.0;1.0;0.0;
77;11.0;11.0;0.0;7;1.0;1.0;0.0;7;1.0;1.0;0.0;7;1.0;1.0;0.0;0.0258358662614;0.00369083803734;0.0;0.00721374195651;7232.0;1033.14285714;207.0;606.586097663;154;22.0;22.0;0.0;
77;11.0;11.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10889.0;1555.57142857;230.0;820.319076796;42;6.0;6.0;0.0;
24;3.0;3.0;0.0;8;1.0;1.0;0.0;8;1.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6763.0;845.375;245.0;573.754071336;24;3.0;3.0;0.0;
120;6.0;6.0;0.0;0;0.0;0.0;0.0;20;1.0;1.0;0.0;20;1.0;1.0;0.0;0.217325227964;0.0108662613982;0.0;0.00961508968494;19315.0;965.75;247.0;580.248039635;60;3.0;3.0;0.0;
354;6.0;6.0;0.0;59;1.0;1.0;0.0;59;1.0;1.0;0.0;59;1.0;1.0;0.0;0.872340425532;0.0147854309412;0.0;0.0226539444688;66390.0;1125.25423729;8.0;713.547109683;177;3.0;3.0;0.0;
66;11.0;11.0;0.0;0;0.0;0.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8185.0;1364.16666667;251.0;757.055571863;0;0.0;0.0;0.0;
264;11.0;11.0;0.0;24;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32669.0;1361.20833333;252.0;616.788792806;528;22.0;22.0;0.0;
6;1.0;1.0;0.0;6;1.0;1.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5718.0;953.0;268.0;757.201646415;6;1.0;1.0;0.0;
30;6.0;6.0;0.0;5;1.0;1.0;0.0;5;1.0;1.0;0.0;5;1.0;1.0;0.0;0.0987841945289;0.0197568389058;0.0;0.0251931498907;3339.0;667.8;306.0;299.276059851;0;0.0;0.0;0.0;
39;3.0;3.0;0.0;13;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20184.0;1552.61538462;324.0;531.72672832;13;1.0;1.0;0.0;
25;5.0;5.0;0.0;0;0.0;0.0;0.0;5;1.0;1.0;0.0;5;1.0;1.0;0.0;0.0759878419453;0.0151975683891;0.0;0.01948610386;6022.0;1204.4;369.0;648.624267199;5;1.0;1.0;0.0;
81;9.0;9.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10365.0;1151.66666667;371.0;694.182012635;27;3.0;3.0;0.0;
88;11.0;11.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;8;1.0;1.0;0.0;0.164133738602;0.0205167173252;0.0;0.0509231943093;9054.0;1131.75;409.0;523.997793411;0;0.0;0.0;0.0;
24;3.0;3.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9666.0;1208.25;433.0;500.778581311;24;3.0;3.0;0.0;
84;6.0;6.0;0.0;0;0.0;0.0;0.0;14;1.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18921.0;1351.5;459.0;559.044305681;42;3.0;3.0;0.0;
572;11.0;11.0;0.0;52;1.0;1.0;0.0;0;0.0;0.0;0.0;52;1.0;1.0;0.0;1.84346504559;0.0354512508768;0.0;0.143745997693;64768.0;1245.53846154;9.0;747.782245699;156;3.0;3.0;0.0;
45;5.0;5.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14393.0;1599.22222222;541.0;522.092749908;9;1.0;1.0;0.0;
54;6.0;6.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14915.0;1657.22222222;558.0;506.43783819;27;3.0;3.0;0.0;
30;5.0;5.0;0.0;0;0.0;0.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7730.0;1288.33333333;722.0;446.942825078;6;1.0;1.0;0.0;
35;7.0;7.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8074.0;1614.8;960.0;571.478573527;15;3.0;3.0;0.0;
66;11.0;11.0;0.0;0;0.0;0.0;0.0;6;1.0;1.0;0.0;6;1.0;1.0;0.0;0.0699088145897;0.0116514690983;0.0;0.02154031573;11689.0;1948.16666667;1081.0;449.972375695;132;22.0;22.0;0.0;
6;1.0;1.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8780.0;1463.33333333;1094.0;302.198977864;6;1.0;1.0;0.0;
946;11.0;11.0;0.0;86;1.0;1.0;0.0;0;0.0;0.0;0.0;86;1.0;1.0;0.0;1.63373860182;0.0189969604863;0.0;0.0285966370673;102321.0;1189.77906977;10.0;706.329826131;86;1.0;1.0;0.0;
99;11.0;11.0;0.0;0;0.0;0.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;0.0349544072948;0.00388382303276;0.00151975683891;0.00459353951663;12206.0;1356.22222222;11.0;850.103363359;9;1.0;1.0;0.0;
1485;11.0;11.0;0.0;135;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;162285.0;1202.11111111;12.0;733.493120639;135;1.0;1.0;0.0;
