"html5_tags";"cms";"has_analytics";"has_js_jquery";"html5";"server";"id";"cluster"
0.0;"11";"0";"0";"0";"22";128.0;"cluster_5"
0.0060790273556231;"11";"0";"1";"1";"3";129.0;"cluster_7"
0.004559270516717325;"11";"1";"1";"1";"0";130.0;"cluster_0"
0.0;"6";"0";"1";"1";"2";131.0;"cluster_7"
0.0;"11";"0";"0";"0";"22";132.0;"cluster_5"
0.0;"11";"0";"0";"0";"1";133.0;"cluster_5"
0.0;"7";"1";"0";"0";"3";134.0;"cluster_2"
0.0;"6";"1";"1";"0";"2";135.0;"cluster_2"
0.0;"11";"0";"1";"0";"1";136.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";137.0;"cluster_5"
0.0;"11";"1";"0";"0";"1";138.0;"cluster_2"
0.00303951367781155;"9";"0";"0";"1";"0";139.0;"cluster_7"
0.0;"11";"0";"0";"0";"22";140.0;"cluster_5"
0.0;"11";"1";"1";"0";"1";141.0;"cluster_2"
0.0060790273556231;"11";"1";"1";"1";"0";142.0;"cluster_0"
0.0;"11";"1";"1";"0";"1";143.0;"cluster_2"
0.0;"3";"1";"0";"0";"3";144.0;"cluster_2"
0.0;"11";"1";"1";"0";"3";145.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";146.0;"cluster_5"
0.0;"11";"1";"0";"0";"1";147.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";148.0;"cluster_5"
0.0;"11";"1";"0";"0";"6";149.0;"cluster_2"
0.0;"3";"1";"0";"0";"0";150.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";151.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";152.0;"cluster_5"
0.0;"11";"1";"0";"1";"3";153.0;"cluster_0"
0.0;"11";"1";"1";"1";"1";154.0;"cluster_0"
0.0;"6";"1";"1";"0";"3";155.0;"cluster_2"
0.0;"7";"1";"0";"0";"3";156.0;"cluster_2"
0.0;"11";"1";"1";"0";"3";157.0;"cluster_2"
0.0;"11";"1";"0";"0";"1";158.0;"cluster_2"
0.0;"11";"1";"1";"0";"1";159.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";160.0;"cluster_5"
0.0;"11";"0";"0";"0";"1";161.0;"cluster_5"
0.0;"3";"0";"1";"0";"1";162.0;"cluster_5"
0.0060790273556231;"11";"1";"0";"1";"21";163.0;"cluster_0"
0.0;"11";"1";"0";"0";"1";164.0;"cluster_2"
0.001519756838905775;"11";"1";"0";"1";"3";165.0;"cluster_0"
0.0;"11";"1";"0";"1";"1";166.0;"cluster_0"
0.0;"11";"1";"0";"1";"0";167.0;"cluster_0"
0.0;"11";"1";"0";"0";"3";168.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";169.0;"cluster_5"
