@RELATION data

@ATTRIBUTE alexa_has_adult_content {0,1}
@ATTRIBUTE alexa_lang {0,1,2,3,4,5}
@ATTRIBUTE alexa_links_in {0,1,2,3,4,5,6}
@ATTRIBUTE alexa_load_time {0,1,2,3,4,5}
@ATTRIBUTE alexa_rank {0,1,2,3,4,5,6,7}
@ATTRIBUTE alexa_rank_dk {0,1,2,3,4,5}
@ATTRIBUTE cms {0,1,2,3,4,5,6,7,8,9,10,11}
@ATTRIBUTE external_links_count {0,1,2,3}
@ATTRIBUTE facebook_share {0,1}
@ATTRIBUTE has_analytics {0,1}
@ATTRIBUTE has_description {0,1}
@ATTRIBUTE has_keywords {0,1}
@ATTRIBUTE html5 {0,1}
@ATTRIBUTE html5_tags {0,1,2,3}
@ATTRIBUTE img_count {0,1,2,3,4}
@ATTRIBUTE internal_links_count {0,1,2,3}
@ATTRIBUTE page_rank {0,1,2,3,4,5,6,7,8,9,10}
@ATTRIBUTE server {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}
@ATTRIBUTE title_tag {0,1}
@ATTRIBUTE twitter_share {0,1}
@ATTRIBUTE url string
@ATTRIBUTE xhtml {0,1}

@DATA
0,0,6,1,7,5,11,0,0,0,0,0,0,0,0,0,?,22,0,0,http://www.muzzic.dk,0
0,?,6,3,4,2,11,3,0,1,1,1,0,0,4,1,5,22,1,0,http://www.euroinvestor.dk,0
0,?,6,?,7,4,11,2,0,1,0,1,0,0,1,0,4,1,1,0,http://www.weightlifting.dk,1
0,?,6,1,7,?,11,3,0,1,0,1,0,0,3,0,3,3,1,0,http://www.jupitercykler.dk,0
0,0,6,3,6,3,11,3,0,1,1,0,0,0,4,2,3,3,1,0,http://www.cykelpartner.dk,0
0,?,5,5,6,3,11,1,0,1,1,1,0,0,4,3,6,3,1,0,http://www.iform.dk,0
0,?,6,1,7,4,11,1,0,1,0,0,0,0,1,0,5,22,1,0,http://www.mols-linien.dk,0
0,0,6,?,7,4,11,1,0,0,1,1,0,0,2,0,2,1,1,0,http://www.valkyrien-koege.dk,0
0,?,6,2,7,4,11,3,1,0,0,1,0,0,4,0,3,3,1,0,http://www.pc-lager.dk,0
0,1,6,0,7,4,11,0,0,0,0,0,0,0,0,0,2,22,0,0,http://www.parameter.dk,0
0,0,6,?,7,?,11,0,0,0,0,0,0,0,0,0,0,22,1,0,http://www.nikefreerun-store.dk,0
0,0,6,?,7,?,11,1,0,1,1,0,1,1,0,0,?,22,1,0,http://www.alfre.dk,0
0,0,6,?,7,4,11,1,0,1,1,1,1,0,1,0,3,1,1,0,http://www.valutaomregneren.dk,0
0,1,6,4,7,4,11,0,0,0,0,0,0,0,0,0,7,1,1,0,http://www.statistikbanken.dk,0
0,?,6,2,7,?,11,3,0,0,1,1,1,2,4,0,1,3,1,0,http://www.scanheat.dk,0
0,0,6,?,7,5,11,1,0,1,1,1,0,0,1,0,4,1,1,0,http://www.gallupforum.dk,0
0,1,6,3,7,4,11,3,0,1,1,1,0,0,2,0,4,17,1,0,http://www.vestjyskbank.dk,0
0,?,6,4,6,3,7,3,0,1,1,1,0,0,4,0,6,3,1,0,http://www.bolius.dk,0
1,0,6,4,7,?,11,0,0,0,0,0,0,0,0,0,2,22,0,0,http://www.xxxvideos.dk,0
0,?,6,5,7,3,11,0,0,0,0,0,0,0,0,0,2,22,0,0,http://www.tilbudsservice.dk,0
0,0,6,?,7,?,11,0,0,0,0,0,0,0,0,0,0,3,1,0,http://www.abode.dk,0
0,?,6,3,4,2,11,1,0,1,1,0,0,0,0,1,7,1,1,0,http://www.jobnet.dk,0
0,?,6,5,7,4,11,3,1,1,1,0,1,0,4,0,6,0,1,0,http://www.penge.dk,0
0,0,6,5,7,4,11,2,0,0,1,1,0,0,3,0,5,1,1,0,http://www.westernunion.dk,0
0,0,6,?,7,4,6,0,0,0,1,0,1,2,2,3,4,3,1,0,http://www.kvinderifilosofi.dk,0
0,0,6,3,7,4,11,2,0,1,0,0,0,0,4,0,1,22,1,0,http://www.mindst50procent.dk,0
0,0,6,3,7,?,11,1,0,1,0,0,0,0,1,0,3,3,1,0,http://www.humoer.dk,0
0,0,6,?,7,5,11,3,0,1,1,1,1,1,4,1,4,3,1,0,http://www.jobview.dk,0
0,0,6,?,7,5,11,2,0,0,1,1,0,0,2,0,4,1,1,0,http://www.edcerhverv.dk,0
0,0,6,3,7,4,11,0,0,0,0,0,0,0,0,0,3,22,0,0,http://www.vaiva.dk,0
1,?,6,5,7,4,11,3,0,1,1,1,0,0,3,0,3,3,1,0,http://www.gratis6.dk,0
0,?,6,2,7,4,11,3,1,1,1,0,1,2,4,0,4,1,1,0,http://www.cellbes.dk,0
0,0,6,?,7,4,11,0,0,0,0,0,0,0,0,0,2,22,0,0,http://www.nettoparts.dk,0
0,0,6,0,7,4,11,3,0,1,0,0,0,0,4,0,1,3,1,0,http://www.eroleg.dk,0
0,0,6,?,6,3,6,0,0,0,1,0,0,0,4,3,4,3,1,0,http://www.e-universe.dk,0
0,0,6,?,7,4,6,0,0,1,1,0,1,1,0,1,5,3,1,0,http://www.tv3sport.dk,0
0,0,6,3,7,?,11,0,0,0,0,0,0,0,0,0,1,22,1,0,http://www.pcitservice.dk,0
0,0,6,1,7,4,11,1,0,0,0,0,0,0,1,0,6,3,1,0,http://www.tinglysning.dk,0
0,0,6,?,7,4,1,3,0,0,1,0,1,2,4,0,4,1,1,0,http://www.optimera.dk,0
0,0,6,1,7,4,11,3,0,0,0,1,0,0,3,0,6,1,1,0,http://www.danskerhverv.dk,0
