@relation data-weka.filters.unsupervised.attribute.RemoveType-Tstring-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.RemoveUseless-M95.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute alexa_has_adult_content {0,1}
@attribute alexa_links_in numeric
@attribute alexa_load_time numeric
@attribute alexa_rank numeric
@attribute alexa_rank_dk numeric
@attribute external_links_count numeric
@attribute facebook_share {0,1}
@attribute has_analytics {0,1}
@attribute has_content_business {0,1}
@attribute has_content_film {0,1}
@attribute has_content_food {0,1}
@attribute has_content_games {0,1}
@attribute has_content_health {0,1}
@attribute has_content_music {0,1}
@attribute has_content_news {0,1}
@attribute has_content_shop {0,1}
@attribute has_content_sport {0,1}
@attribute has_content_technology {0,1}
@attribute has_content_transport {0,1}
@attribute has_content_xxx {0,1}
@attribute has_description {0,1}
@attribute has_js_backbone {0,1}
@attribute has_js_dojo {0,1}
@attribute has_js_jquery {0,1}
@attribute has_js_modernizr {0,1}
@attribute has_js_mootools {0,1}
@attribute has_js_prototype {0,1}
@attribute has_keywords {0,1}
@attribute html5 {0,1}
@attribute html5_tags numeric
@attribute img_count numeric
@attribute internal_links_count numeric
@attribute page_rank numeric
@attribute title_tag {0,1}
@attribute twitter_share {0,1}
@attribute xhtml {0,1}

@data
0,0.013679,0.213565,0.057578,0.044365,0.283316,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.00152,0.104065,0.006883,0.625,1,0,0
0,0.047984,0.043396,0.025848,0.023377,0.155299,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.058537,0.010816,0.625,1,0,0
0,0.004655,0.07129,0.279425,0.216961,0.009444,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.019512,0.064897,0.375,1,0,0
0,0.03674,0.089801,0.243824,?,0.003148,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010638,0.001626,0.012783,0.625,1,0,0
0,0.022631,0.090872,0.038714,0.027813,0.054565,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0.022764,0.06883,0.75,1,0,0
0,0.009454,0.04513,0.539779,0.534767,0.04617,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0.01626,0.006883,0.625,1,0,0
0,0.010456,0.081846,0.135449,0.161505,0.059811,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.034146,0.003933,0.625,1,0,0
0,0.003438,0.033146,0.442765,0.303302,0.142707,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0.069919,0.029499,0.375,1,0,0
0,0.003151,0.09796,0.05616,0.0645,0.032529,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0.048632,0.013008,0.129794,0.375,1,0,0
0,0.004011,?,0.141064,0.260217,0.019937,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.007599,0.006504,0.003933,0.5,1,0,0
0,0.002292,0.087608,0.411982,0.398857,0.0766,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.027642,0,0.625,1,0,0
0,0.010241,?,0.29942,0.704633,0.010493,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.013008,0.118977,0.625,1,0,0
0,0.035164,0.052626,0.030669,0.024657,0.051417,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.026016,0.056047,0.75,1,0,0
0,0.017475,0.111168,0.051501,0.029605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
0,0.015326,0.059714,0.019094,0.012798,0.120672,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0.004559,0.009756,0.020649,0.5,1,0,0
0,0.00931,0.207649,0.114121,0.151096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
0,0.003867,?,0.287931,0.331371,0.04617,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.04065,0.004916,0.5,1,0,0
0,0.008594,0.013565,0.232001,0.241532,0.020986,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052033,0,0.625,1,0,0
0,0.003867,0.032075,0.152082,0.105708,0.025184,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.009756,0.001967,0.5,1,0,0
0,0.000286,?,0.614952,0.328129,0.019937,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.021138,0.011799,0.125,1,0,0
0,0.001074,?,0.571361,0.889515,0.008395,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.022764,0.092429,0.625,0,0,0
0,0.005013,0.145691,0.399176,0.389557,0.438615,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035772,0,?,1,0,0
0,0.01418,0.069301,0.039694,0.053835,0.037775,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.014634,0.001967,0.625,1,0,0
1,0.005729,0.053799,0.041016,0.031141,0.022036,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.01626,0.003933,0.5,1,0,0
0,0.022488,0.033452,0.309338,0.274294,0.207765,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.021138,0.007866,0.625,1,0,0
0,0.009167,?,0.269306,0.119785,0.152151,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.030894,0.012783,0.625,1,0,0
0,0.234334,?,0.125728,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0
0,0.001719,0.124375,0.058476,0.056565,0.005247,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.130081,0.011799,0.375,1,0,1
0,0.002435,?,0.218838,0.202031,0.001049,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.01626,0.010816,0.125,1,0,0
0,0.031512,0.14513,0.012049,0.007679,0.21511,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0.033435,0.029268,0,0.625,1,0,0
0,0.007735,?,0.576294,0.432045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0
0,0.002077,?,0.083299,0.065182,0.011542,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.019512,0.051131,0.375,1,0,0
0,0.004154,0.12203,0.210768,0.427011,0.856243,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.39187,0.009833,0.125,1,0,0
0,0.001576,?,0.230149,0.431021,0.011542,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.007599,0.009756,0.024582,0,1,0,0
0,0.011674,?,0.443404,?,0.109129,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0.022796,0.074797,0.000983,0.25,1,1,0
0,0.007162,0.085416,0.324423,0.256463,0.073452,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.04065,0.0059,0.5,1,0,0
