has_content_business;;;;has_content_film;;;;has_content_food;;;;has_content_games;;;;has_content_health;;;;has_content_music;;;;has_content_news;;;;has_content_shop;;;;has_content_sport;;;;has_content_technology;;;;has_content_transport;;;;has_content_xxx;;;;id;;;;page_rank;;;;
sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;45;1.0;1.0;0.0;0;0.0;0.0;0.0;45;1.0;1.0;0.0;45;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;45;1.0;1.0;0.0;0;0.0;0.0;0.0;52006.0;1155.68888889;69.0;729.785716563;17.5;0.388888888889;0.375;0.194047213295;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;15;1.0;1.0;0.0;0;0.0;0.0;0.0;15;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;15;1.0;1.0;0.0;0;0.0;0.0;0.0;17096.0;1139.73333333;71.0;774.385990461;6.75;0.45;0.375;0.203100960116;
26;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;26;1.0;1.0;0.0;26;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;32766.0;1260.23076923;75.0;694.482558218;12.75;0.490384615385;0.5;0.216292728446;
48;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;48;1.0;1.0;0.0;48;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;48;1.0;1.0;0.0;0;0.0;0.0;0.0;61984.0;1291.33333333;81.0;685.986434916;23.2742950108;0.484881146059;0.625;0.179076547328;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;11;1.0;1.0;0.0;0;0.0;0.0;0.0;11;1.0;1.0;0.0;11;1.0;1.0;0.0;0;0.0;0.0;0.0;11;1.0;1.0;0.0;11;1.0;1.0;0.0;0;0.0;0.0;0.0;12794.0;1163.09090909;91.0;741.328470266;5.09143167028;0.462857424571;0.375;0.131105978213;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;4611.0;768.5;100.0;589.242097953;2.25;0.375;0.5;0.144337567297;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;23;1.0;1.0;0.0;0;0.0;0.0;0.0;23;1.0;1.0;0.0;23;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;25760.0;1120.0;3.0;722.753310491;9.84143167028;0.427888333491;0.625;0.226350988174;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;13;1.0;1.0;0.0;0;0.0;0.0;0.0;13;1.0;1.0;0.0;13;1.0;1.0;0.0;13;1.0;1.0;0.0;0;0.0;0.0;0.0;13;1.0;1.0;0.0;0;0.0;0.0;0.0;19852.0;1527.07692308;117.0;719.304628046;4.875;0.375;0.375;0.162610908897;
0;0.0;0.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;12282.0;1364.66666667;120.0;758.635324484;3.875;0.430555555556;0.375;0.177864562151;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;14;1.0;1.0;0.0;14;1.0;1.0;0.0;0;0.0;0.0;0.0;14;1.0;1.0;0.0;14;1.0;1.0;0.0;0;0.0;0.0;0.0;20247.0;1446.21428571;129.0;793.356898481;7.05786334056;0.504133095755;0.5;0.167468442825;
